sku,name,tax_class_name,price,SKU
4489,Zanęta Champion Feed - Wonder Black 2kg,8,27.31,CF-WBL2
4495,Zanęta Champion Feed - Wonder Heavy 2kg,8,27.31,CF-WH2
4501,Zanęta Champion Feed - Wonder Mix 2kg,8,27.31,CF-WMX2
4505,Zanęta Champion Feed - Feeder Dark 1kg,8,14.35,CF-FD1
4509,Zanęta Champion Feed - Feeder Special 1kg,8,14.35,CF-FS1
4515,Słodzik Sweet Magic Górek-Gliny 100g,23,23.58,GG--SWMAG100
4519,Glina Argile Czarna 2kg,23,6.1,GG-GL-ARGCZ2
4524,Glina Argile Jasna 2kg,23,5.28,GG-GL-ARGJA2
4525,Glina Mieszanka Jezioro 1.5kg,23,4.96,GG-GL-MIESZ15
4529,Glina Wiążąca Standard 2kg,23,5.28,GG-GL-WIAZST2
4531,Glina Double Leam - Rzeczna 2kg,23,6.1,GG-GL-DLRZECZ2
4615,Zanęta Feeder Bait Feeder Mix Active 800g,8,16.67,FB9-1
4619,Zanęta Feeder Bait F1 Mix 800g,8,16.67,FB9-2
4622,Zanęta Feeder Bait 800g - Epidemia,8,17.59,FB9-5
4631,Zanęta Feeder Bait 800g - Hot Krill,8,17.59,FB9-4
4634,Zanęta Feeder Bait 800g - Krill,8,17.59,FB9-3
4637,Zanęta Feeder Bait 800g + 200g -  LT & Micro Pellet,8,18.52,FB9-6
4641,Feeder Bait Method Pellet NATURAL HALIBUT 4mm 800g,8,15.74,FB12-30
4649,Feeder Bait Method Pellet NATURAL HALIBUT BLACK 4mm 800g,8,15.74,FB12-31
4653,Feeder Bait Method Pellet ROYAL RAK 4mm 800g,8,15.74,FB12-10
4659,Feeder Bait Method Pellet ROYAL RAK BLACK 4mm 800g,8,15.74,FB12-11
4662,Feeder Bait Method Pellet SPICE CHILLI 4mm 800g,8,15.74,FB12-20
4665,Feeder Bait Method Pellet SPICE CHILLI BLACK 4mm 800g,8,15.74,FB12-21
4672,Feeder Bait Method Pellet EPIDEMIA 4mm 800g,8,16.67,FB12-4
4675,Feeder Bait Method Pellet F1 OCHOTKA & KONOPIA 4mm 800g,8,16.67,FB12-5
4678,Feeder Bait Method Pellet EPIDEMIA 2mm 800g,8,16.67,FB11-4
4681,Feeder Bait Method Pellet F1 OCHOTKA & KONOPIA 2mm 800g,8,16.67,FB11-5
4684,Feeder Bait Method Pellet KWAS MASŁOWY 2mm 800g,8,16.67,FB11-6
4687,Feeder Bait Method Pellet NATURAL HALIBUT 2mm 800g,8,16.67,FB11-3
4691,Feeder Bait Method Pellet KIEŁBASA 2mm 800g,23,14.63,FB11-7
4694,Feeder Bait Method Pellet ROYAL RAK 2mm 800g,8,16.67,FB11-1
4697,Feeder Bait Method Pellet SPICE CHILLI 2mm 800g,8,16.67,FB11-2
4717,Feeder Bait Pellet EPIDEMIA 12mm 800g,8,16.67,FB22-2
4789,Zanęta Feeder Bait Prestige Fishmeal 800g  - Natural,8,18.52,FB25-1
4793,Zanęta Feeder Bait Prestige Fishmeal 800g - Spice,8,18.52,FB25-3
4796,Zanęta Feeder Bait Prestige Fishmeal 800g - Sweet,8,18.52,FB25-2
4800,Podajnik Method ARC,23,0,FS-ARC
4802,Podajnik Method ARC – 30,23,4.07,FS-ARC30
4803,Podajnik Method ARC – 40,23,4.47,FS-ARC40
4804,Podajnik Method ARC – 50,23,4.88,FS-ARC50
4808,Podajnik Method BOAT,23,0,FS-BOA
4809,Podajnik Method BOAT – 30,23,4.07,FS-BOA30
4810,Podajnik Method BOAT – 40,23,4.47,FS-BOA40
4811,Podajnik Method BOAT – 50,23,4.88,FS-BOA50
4812,Podajnik Method BOAT – 60,23,5.28,FS-BOA60
4819,Foremka wyciskana do podajników ARC i Boat,23,6.5,FS-FOR-AB
4871,Robinson STINGER METHOD FEEDER 3.00m 10-45g,23,96.75,11G-FM-300
4940,VDE-Robinson FEEDER-ARM 170cm D25/36mm,23,79.67,67-CO-W19
4944,VDE-Robinson FEEDER-ARM ZE WSPORNIKIEM 170cm D25/36mm,23,79.67,67-CO-W21
4961,Atraktor MVDE Brasem Caramel 250g,8,12.96,EA-BRA
4964,Atraktor MVDE Strawberry – truskawka 250g,8,12.96,EA-STR
4968,Zanęta MVDE Gold Pro Bream Classic 1kg,8,15.28,EZ-BRE
4973,Zanęta MVDE Super Crack Bream Yellow 1kg,8,16.67,EZ-CRB
4977,Zanęta MVDE Feeder Bream 1kg,23,13.41,EZ-FBR
4980,Zanęta MVDE Feeder Turbo 1kg,8,15.28,EZ-FTU
5094,MatchPRO Klej Bentonit 1kg,23,6.42,900701
5098,MatchPRO Klej Liant a Coller 1kg,23,6.42,900705
5167,Feeder Bait DUMBEL 8mm 75ml – Epidemia CSL Fermentowana Kukurydza,8,13.89,FB5-3
5168,Feeder Bait DUMBEL 8mm 75ml – F1 Ochotka & Konopia,8,13.89,FB5-5
5169,Feeder Bait DUMBEL 8mm 75ml – Fluo Halibut,8,13.89,FB5-2
5170,Feeder Bait DUMBEL 8mm 75ml – Fluo Morwa,8,13.89,FB5-4
5171,Feeder Bait DUMBEL 8mm 75ml – Fluo Truskawka,8,13.89,FB5-1
5177,Feeder Bait CZINKERS 7mm 60ml – Hybryda (Ananas & Halibut),8,13.89,FB19-3
5178,Feeder Bait CZINKERS 7mm 60ml – Ambrozja (Banan & Truskawka),8,13.89,FB19-4
5179,Feeder Bait CZINKERS 7mm 60ml – Maggot (Biały Robak),8,13.89,FB19-7
5180,Feeder Bait CZINKERS 7mm 60ml – R72 (Brzoskwinia & Ananas),8,13.89,FB19-8
5181,Feeder Bait CZINKERS 7mm 60ml – Buba (Czosnek & Kryl),8,13.89,FB19-1
5182,Feeder Bait CZINKERS 7mm 60ml – Troll (Kałamarnica),8,13.89,FB19-2
5183,Feeder Bait CZINKERS 7mm 60ml – Zuma (Krab & Wątroba),8,13.89,FB19-10
5184,Feeder Bait CZINKERS 7mm 60ml – Mania (Ser & Landrynka),8,13.89,FB19-6
5185,Feeder Bait CZINKERS 7mm 60ml – Cytrus (Limonka),8,13.89,FB19-9
5186,Feeder Bait CZINKERS 7mm 60ml – Imago (Przyprawy & Magi),8,13.89,FB19-5
5204,Feeder Bait SMUŻAKI 8mm 60ml – KIEŁBASA,8,17.59,FB16-1
5205,Feeder Bait SMUŻAKI 8mm 60ml – KOKOS,8,17.59,FB16-6
5206,Feeder Bait SMUŻAKI 8mm 60ml – KWAS MASŁOWY,8,17.59,FB16-7
5207,Feeder Bait SMUŻAKI 8mm 60ml – ORZECH TYGRYSI,8,17.59,FB16-4
5208,Feeder Bait SMUŻAKI 8mm 60ml – TRUSKAWKA ,8,17.59,FB16-2
5209,Feeder Bait SMUŻAKI 8mm 60ml – WĄTROBA,8,17.59,FB16-5
5328,Matrioszki MatchPRO 5 sztuk,23,31.71,910970
5365,Portfel Szyty MatchPRO 15cm Czarny,23,12.2,900371
5384,Klasyczny wypychacz plastikowy Mikado,23,1.22,AIX-8502
5391,Szybkozłączka z krętlikiem 5szt S/M/L Mikado – L,23,2.4,AMA02-2074-L
5392,Szybkozłączka z krętlikiem 5szt S/M/L Mikado – M,23,2.4,AMA02-2074-M
5393,Szybkozłączka z krętlikiem 5szt S/M/L Mikado – S,23,2.4,AMA02-2074-S
5397,System mocowania koszyka 5szt Mikado – L,23,3.25,AMA-A3603-L
5398,System mocowania koszyka 5szt Mikado – M,23,3.25,AMA-A3603-M
5405,Gumki do pelletu – 3mm / 5mm / 8mm Mikado (przezroczyste) – 3mm,23,5.37,AMF11-HN-3
5406,Gumki do pelletu – 3mm / 5mm / 8mm Mikado (przezroczyste) – 5mm,23,5.37,AMF11-EHN-5
5407,Stopery PUSH STOP przeźroczyste Mikado,23,2.44,AMF12-T
5421,Łącznik Mikado MF Line Connector Brązowy M / S (na stałe) – M,23,4.88,AMF16-M
5422,Łącznik Mikado MF Line Connector Brązowy M / S (na stałe) – S,23,4.88,AMF16-S
5590,Podajnik Mikado APERIO L 1szt – 15,23,6.5,AMFA01-1L-15
5591,Podajnik Mikado APERIO L 1szt – 20,23,6.5,AMFA01-1L-20
5592,Podajnik Mikado APERIO L 1szt – 30,23,6.5,AMFA01-1L-30
5593,Podajnik Mikado APERIO L 1szt – 40,23,6.5,AMFA01-1L-40
5594,Podajnik Mikado APERIO L 1szt – 50,23,6.5,AMFA01-1L-50
5595,Podajnik Mikado APERIO L 1szt – 60,23,6.5,AMFA01-1L-60
5599,Podajnik Mikado APERIO L zestaw 3 podajników + foremka – 15+20+30+foremka,23,29.27,AMFA03L-SET
5600,Podajnik Mikado APERIO L zestaw 3 podajników + foremka – 20+30+40+foremka,23,29.27,AMFA03L-SETB
5607,Podajnik Mikado APERIO L zestaw 3 podajników + foremka – 3x15g+foremka,23,29.27,AMFA03L-SET15
5608,Podajnik Mikado APERIO L zestaw 3 podajników + foremka – 3x20g+foremka,23,29.27,AMFA03L-SET20
5609,Podajnik Mikado APERIO L zestaw 3 podajników + foremka – 3x30g+foremka,23,29.27,AMFA03L-SET30
5610,Podajnik Mikado APERIO L zestaw 3 podajników + foremka – 3x40g+foremka,23,29.27,AMFA03L-SET40
5611,Podajnik Mikado APERIO L zestaw 3 podajników + foremka – 3x50g+foremka,23,29.27,AMFA03L-SET50
5612,Podajnik Mikado APERIO L zestaw 3 podajników + foremka – 3x60g+foremka,23,29.27,AMFA03L-SET60
5617,Podajnik Mikado APERIO Q.M.F. SYSTEM L 1szt. – 30,23,7.48,AMFA-QMF-1L-30
5618,Podajnik Mikado APERIO Q.M.F. SYSTEM L 1szt. – 40,23,7.48,AMFA-QMF-1L-40
5619,Podajnik Mikado APERIO Q.M.F. SYSTEM L 1szt. – 50,23,7.48,AMFA-QMF-1L-50
5620,Podajnik Mikado APERIO Q.M.F. SYSTEM L 1szt. – 60,23,7.48,AMFA-QMF-1L-60
5624,Podajnik Mikado APERIO Q.M.F L zestaw 3 podajników + foremka – 3x30g+foremka,23,32.44,AMFA-QMF-SET-3L-30
5625,Podajnik Mikado APERIO Q.M.F L zestaw 3 podajników + foremka – 3x40g+foremka,23,32.44,AMFA-QMF-SET-3L-40
5626,Podajnik Mikado APERIO Q.M.F L zestaw 3 podajników + foremka – 3x50g+foremka,23,32.44,AMFA-QMF-SET-3L-50
5627,Podajnik Mikado APERIO Q.M.F L zestaw 3 podajników + foremka – 3x60g+foremka,23,32.44,AMFA-QMF-SET-3L-60
5641,Foremka Mikado Method Feeder L,23,11.3,AMFN02-1L
5645,Podajnik Mikado DOUGLAS L zestaw 3 podajników + foremka – 30+40+50+foremka,23,29.27,AMFN03L-SET
5646,Podajnik Mikado DOUGLAS L zestaw 3 podajników + foremka – 3x20g+foremka,23,29.27,AMFN03L-SET20
5647,Podajnik Mikado DOUGLAS L zestaw 3 podajników + foremka – 3x30g+foremka,23,29.27,AMFN03L-SET30
5648,Podajnik Mikado DOUGLAS L zestaw 3 podajników + foremka – 3x40g+foremka,23,29.27,AMFN03L-SET40
5649,Podajnik Mikado DOUGLAS L zestaw 3 podajników + foremka – 3x50g+foremka,23,29.27,AMFN03L-SET50
5650,Podajnik Mikado DOUGLAS L zestaw 3 podajników + foremka – 3x60g+foremka,23,29.27,AMFN03L-SET60
5682,Podajnik Mikado DOUGLAS Q.M.F SYSTEM L 1szt. – 20,23,7.48,AMFN-QMF-1L-20
5683,Podajnik Mikado DOUGLAS Q.M.F SYSTEM L 1szt. – 30,23,7.48,AMFN-QMF-1L-30
5684,Podajnik Mikado DOUGLAS Q.M.F SYSTEM L 1szt. – 40,23,7.48,AMFN-QMF-1L-40
5685,Podajnik Mikado DOUGLAS Q.M.F SYSTEM L 1szt. – 50,23,7.48,AMFN-QMF-1L-50
5686,Podajnik Mikado DOUGLAS Q.M.F SYSTEM L 1szt. – 60,23,7.48,AMFN-QMF-1L-60
5690,Podajnik Mikado DOUGLAS Q.M.F. L zestaw 3 podajników + foremka – 3x20g+foremka,23,32.44,AMFN-QMF-3L-SET20
5691,Podajnik Mikado DOUGLAS Q.M.F. L zestaw 3 podajników + foremka – 3x30g+foremka,23,32.44,AMFN-QMF-3L-SET30
5692,Podajnik Mikado DOUGLAS Q.M.F. L zestaw 3 podajników + foremka – 3x40g+foremka,23,32.44,AMFN-QMF-3L-SET40
5693,Podajnik Mikado DOUGLAS Q.M.F. L zestaw 3 podajników + foremka – 3x50g+foremka,23,32.44,AMFN-QMF-3L-SET50
5694,Podajnik Mikado DOUGLAS Q.M.F. L zestaw 3 podajników + foremka – 3x60g+foremka,23,32.44,AMFN-QMF-3L-SET60
5700,Koszyczek Mikado okrągły – 25,23,2.85,AMKZ-03-25-B
5701,Koszyczek Mikado okrągły – 15,23,2.85,AMKZ-03-15-B
5702,Koszyczek Mikado okrągły – 20,23,2.85,AMKZ-03-20-B
5703,Koszyczek Mikado okrągły – 30,23,2.85,AMKZ-03-30-B
5704,Koszyczek Mikado okrągły – 40,23,2.85,AMKZ-03-40-B
5709,Opaska do wędki 145x20x13mm Mikado,23,12.2,AMR07-145
5716,Stoper gumowy Trout Campione M / L / XL Mikado – M,23,2.44,ATC-S00-M
5717,Stoper gumowy Trout Campione M / L / XL Mikado – XL,23,2.44,ATC-S00-XL
5723,Stoper gumowy podłużny M / L / XL Mikado – L,23,2.44,ATC-S01-L
5724,Stoper gumowy podłużny M / L / XL Mikado – XL,23,2.44,ATC-S01-XL
5728,Gotowe przypony z żyłki 10cm z gumką Mikado – # 4 – ? 0.28mm,23,8.54,HMFB12G-4
5729,Gotowe przypony z żyłki 10cm z gumką Mikado – # 6 – ? 0.28mm,23,8.54,HMFB12G-6
5730,Gotowe przypony z żyłki 10cm z gumką Mikado – # 8 – ? 0.25mm,23,8.54,HMFB12G-8
5731,Gotowe przypony z żyłki 10cm z gumką Mikado – # 10 – ? 0.23mm,23,8.54,HMFB12G-10
5732,Gotowe przypony z żyłki 10cm z gumką Mikado – # 12 – ? 0.23mm,23,8.54,HMFB12G-12
5733,Gotowe przypony z żyłki 10cm z gumką Mikado – # 16 – ? 0.20mm,23,8.54,HMFB12G-16
5734,Gotowe przypony z żyłki 10cm z gumką Mikado – # 18 – ? 0.18mm,23,8.54,HMFB12G-18
5739,Gotowe przypony z żyłki 10cm z igłą Mikado – # 10 – ? 0.23mm,23,10.57,HMFB12I-10
5740,Gotowe przypony z żyłki 10cm z igłą Mikado – # 12 – ? 0.23mm,23,10.57,HMFB12I-12
5741,Gotowe przypony z żyłki 10cm z igłą Mikado – # 4 – ? 0.28mm,23,10.57,HMFB12I-4
5742,Gotowe przypony z żyłki 10cm z igłą Mikado – # 6 – ? 0.28mm,23,10.57,HMFB12I-6
5743,Gotowe przypony z żyłki 10cm z igłą Mikado – # 8 – ? 0.25mm,23,10.57,HMFB12I-8
5753,Gotowe przypony z żyłki 10cm z pushstopem Mikado – # 10 – ? 0.23mm,23,8.54,HMFB12P-10
5754,Gotowe przypony z żyłki 10cm z pushstopem Mikado – # 12 – ? 0.23mm,23,8.54,HMFB12P-12
5755,Gotowe przypony z żyłki 10cm z pushstopem Mikado – # 14 – ? 0.20mm,23,8.54,HMFB12P-14
5756,Gotowe przypony z żyłki 10cm z pushstopem Mikado – # 16 – ? 0.20mm,23,8.54,HMFB12P-16
5757,Gotowe przypony z żyłki 10cm z pushstopem Mikado – # 4 – ? 0.28mm,23,8.54,HMFB12P-4
5758,Gotowe przypony z żyłki 10cm z pushstopem Mikado – # 6 – ? 0.28mm,23,8.54,HMFB12P-6
5759,Gotowe przypony z żyłki 10cm z pushstopem Mikado – # 8 – ? 0.25mm,23,8.54,HMFB12P-8
5761,Gotowe przypony z żyłki 10cm z gumką Mikado – # 14 – ? 0.20mm,23,8.54,HMFB12G-14
5765,Gotowe przypony z żyłki 10cm z włosem Mikado – # 10 – ? 0.23mm,23,8.54,HMFB12W-10
5766,Gotowe przypony z żyłki 10cm z włosem Mikado – # 12 – ? 0.23mm,23,8.54,HMFB12W-12
5767,Gotowe przypony z żyłki 10cm z włosem Mikado – # 14 – ? 0.20mm,23,8.54,HMFB12W-14
5768,Gotowe przypony z żyłki 10cm z włosem Mikado – # 16 – ? 0.20mm,23,8.54,HMFB12W-16
5769,Gotowe przypony z żyłki 10cm z włosem Mikado – # 18 – ? 0.18mm,23,8.54,HMFB12W-18
5770,Gotowe przypony z żyłki 10cm z włosem Mikado – # 4 – ? 0.28mm,23,8.54,HMFB12W-4
5771,Gotowe przypony z żyłki 10cm z włosem Mikado – # 6 – ? 0.28mm,23,8.54,HMFB12W-6
5772,Gotowe przypony z żyłki 10cm z włosem Mikado – # 8 – ? 0.25mm,23,8.54,HMFB12W-8
5776,Gotowe przypony z plecionki 10cm z gumką Mikado – # 10 – ? 0.12mm,23,8.54,HMFB211G-10
5777,Gotowe przypony z plecionki 10cm z gumką Mikado – # 12 – ? 0.12mm,23,8.54,HMFB211G-12
5778,Gotowe przypony z plecionki 10cm z gumką Mikado – # 14 – ? 0.10mm,23,8.54,HMFB211G-14
5779,Gotowe przypony z plecionki 10cm z gumką Mikado – # 16 – ? 0.10mm,23,8.54,HMFB211G-16
5780,Gotowe przypony z plecionki 10cm z gumką Mikado – # 4 – ? 0.16mm,23,8.54,HMFB211G-4
5781,Gotowe przypony z plecionki 10cm z gumką Mikado – # 6 – ? 0.16mm,23,8.54,HMFB211G-6
5782,Gotowe przypony z plecionki 10cm z gumką Mikado – # 8 – ? 0.14mm,23,8.54,HMFB211G-8
5786,Gotowe przypony z plecionki 10cm z igłą Mikado – # 10 – ? 0.12mm,23,10.57,HMFB211I-10
5787,Gotowe przypony z plecionki 10cm z igłą Mikado – # 12 – ? 0.12mm,23,10.57,HMFB211I-12
5788,Gotowe przypony z plecionki 10cm z igłą Mikado – # 4 – ? 0.16mm,23,10.57,HMFB211I-4
5789,Gotowe przypony z plecionki 10cm z igłą Mikado – # 6 – ? 0.16mm,23,10.57,HMFB211I-6
5790,Gotowe przypony z plecionki 10cm z igłą Mikado – # 8 – ? 0.14mm,23,10.57,HMFB211I-8
5795,Gotowe przypony z plecionki 10cm z pushstopem Mikado – # 10 – ? 0.12mm,23,8.54,HMFB211P-10
5796,Gotowe przypony z plecionki 10cm z pushstopem Mikado – # 12 – ? 0.12mm,23,8.54,HMFB211P-12
5797,Gotowe przypony z plecionki 10cm z pushstopem Mikado – # 14 – ? 0.10mm,23,8.54,HMFB211P-14
5798,Gotowe przypony z plecionki 10cm z pushstopem Mikado – # 16 – ? 0.10mm,23,8.54,HMFB211P-16
5799,Gotowe przypony z plecionki 10cm z pushstopem Mikado – # 4 – ? 0.16mm,23,8.54,HMFB211P-4
5800,Gotowe przypony z plecionki 10cm z pushstopem Mikado – # 6 – ? 0.16mm,23,8.54,HMFB211P-6
5801,Gotowe przypony z plecionki 10cm z pushstopem Mikado – # 8 – ? 0.14mm,23,8.54,HMFB211P-8
5811,Gotowe przypony z plecionki 10cm z włosem Mikado – # 10 – ? 0.12mm,23,8.54,HMFB211W-10
5812,Gotowe przypony z plecionki 10cm z włosem Mikado – # 12 – ? 0.12mm,23,8.54,HMFB211W-12
5813,Gotowe przypony z plecionki 10cm z włosem Mikado – # 14 – ? 0.10mm,23,8.54,HMFB211W-14
5814,Gotowe przypony z plecionki 10cm z włosem Mikado – # 16 – ? 0.10mm,23,8.54,HMFB211W-16
5815,Gotowe przypony z plecionki 10cm z włosem Mikado – # 4 – ? 0.16mm,23,8.54,HMFB211W-4
5816,Gotowe przypony z plecionki 10cm z włosem Mikado – # 6 – ? 0.16mm,23,8.54,HMFB211W-6
5817,Gotowe przypony z plecionki 10cm z włosem Mikado – # 8 – ? 0.14mm,23,8.54,HMFB211W-8
5821,Krętlik rolkowy 10szt Mikado – 10,23,2.68,HX3010-010
5822,Krętlik rolkowy 10szt Mikado – 12,23,2.68,HX3010-012
5824,Krętlik rolkowy 10szt Mikado – 18,23,2.68,HX3010-018
5825,Krętlik rolkowy 10szt Mikado – 20,23,2.68,HX3010-020
5826,Krętlik rolkowy 10szt Mikado – 6,23,2.68,HX3010-006
5827,Krętlik rolkowy 10szt Mikado – 8,23,2.68,HX3010-008
5831,Krętlik rolkowy z agrafką 10szt Mikado – 10,23,3.17,HX3050-010
5832,Krętlik rolkowy z agrafką 10szt Mikado – 12,23,3.17,HX3050-012
5833,Krętlik rolkowy z agrafką 10szt Mikado – 14,23,3.17,HX3050-014
